loss = 7.685287952423096, MAPE = 2.667602847330272
loss = 7.470950126647949, MAPE = 4.652005369774997
loss = 7.215269565582275, MAPE = 4.374615708598867
loss = 6.902909278869629, MAPE = 3.069034066516906
loss = 6.788902759552002, MAPE = 5.554814156610519
loss = 6.7839884757995605, MAPE = 4.012621856061742
loss = 6.500635147094727, MAPE = 5.31016478035599
loss = 6.54054594039917, MAPE = 4.551872663199902
loss = 5.938798904418945, MAPE = 17.57216127286665
loss = 6.231023788452148, MAPE = 10.550601029768586
loss = 6.213414192199707, MAPE = 5.737795545719564
loss = 6.0554046630859375, MAPE = 3.973134793806821
loss = 5.921850204467773, MAPE = 9.686185950646177
loss = 5.673105239868164, MAPE = 17.75190536491573
loss = 5.4463067054748535, MAPE = 5.250537106534466
loss = 5.4683122634887695, MAPE = 7.782671931199729
loss = 5.478172779083252, MAPE = 8.137668806593865
loss = 5.122359752655029, MAPE = 28.058303820434958
loss = 5.532443046569824, MAPE = 67.05848003225401
loss = 5.1078267097473145, MAPE = 7.172483230940998
loss = 5.112523555755615, MAPE = 7.2552858912386
loss = 4.960071086883545, MAPE = 5.022388180717826
loss = 5.069692611694336, MAPE = 8.618158385623246
loss = 5.091946601867676, MAPE = 5.292310582473874
loss = 4.882824897766113, MAPE = 541.3939798814245
loss = 4.86564826965332, MAPE = 11.82528303610161
loss = 4.614930152893066, MAPE = 7.509048419538885
loss = 4.484529972076416, MAPE = 4.172248605173081
loss = 4.790789604187012, MAPE = 5.826433842536062
loss = 4.3953094482421875, MAPE = 8.446918775560334
loss = 4.454671859741211, MAPE = 6.22065122006461
loss = 4.378018856048584, MAPE = 3.4871523333713412
loss = 4.43670654296875, MAPE = 2.205974984448403
loss = 4.460391521453857, MAPE = 2.7648892428260297
loss = 4.286655426025391, MAPE = 3.85195949440822
loss = 4.518966197967529, MAPE = 2.4686616524122655
loss = 4.504404067993164, MAPE = 2.552796841133386
loss = 4.324316024780273, MAPE = 2.014202462276444
loss = 4.226016521453857, MAPE = 2.4451648388057947
loss = 4.110365867614746, MAPE = 2.4753194199874997
loss = 4.1179280281066895, MAPE = 2.457575238775462
loss = 4.2064361572265625, MAPE = 3.832612037891522
loss = 4.285050868988037, MAPE = 3.987058997619897
loss = 4.059248924255371, MAPE = 3.3169466028921306
loss = 4.127188682556152, MAPE = 2.760062608635053
loss = 4.118943214416504, MAPE = 25.521882363129407
loss = 4.0558929443359375, MAPE = 2.592658512061462
loss = 3.8896450996398926, MAPE = 2.7810222166590393
loss = 3.971280336380005, MAPE = 1.3993865482043475
loss = 3.9745712280273438, MAPE = 3.002820929978043
loss = 4.0000834465026855, MAPE = 5.362517725676298
loss = 3.913569450378418, MAPE = 1.9430057755671442
loss = 3.8282546997070312, MAPE = 2.929585138335824
loss = 3.8211944103240967, MAPE = 1.5472073704004288
loss = 3.6433022022247314, MAPE = 0.9072477694135159
loss = 4.048044681549072, MAPE = 1.3314541527070105
loss = 3.7464404106140137, MAPE = 0.6758675298187882
loss = 3.7003681659698486, MAPE = 2.9373340292368084
loss = 3.658015489578247, MAPE = 0.6967054097913206
loss = 3.856391668319702, MAPE = 0.9968084362335503
loss = 3.7047202587127686, MAPE = 1.1169703479390591
loss = 3.7132675647735596, MAPE = 6.841068383771926
loss = 3.4944002628326416, MAPE = 1.0536916533019394
loss = 3.760775089263916, MAPE = 1.3568136903923005
loss = 3.796138048171997, MAPE = 3.5347666090819985
loss = 3.5650601387023926, MAPE = 0.6431430743541569
loss = 3.633800983428955, MAPE = 1.0972121902741492
loss = 3.7171993255615234, MAPE = 1.1234685652889311
loss = 3.480823040008545, MAPE = 0.8879222073592246
loss = 3.53090500831604, MAPE = 1.7387607067357749
loss = 3.649333953857422, MAPE = 0.8243977327365428
loss = 3.4573559761047363, MAPE = 0.8567603877745569
loss = 3.8219828605651855, MAPE = 0.6717092972248793
loss = 3.652228355407715, MAPE = 0.5455696729477495
loss = 3.4897353649139404, MAPE = 0.6647233322728425
loss = 3.394514322280884, MAPE = 0.6095276456326246
loss = 3.4950835704803467, MAPE = 0.6401899164775386
loss = 3.497434616088867, MAPE = 0.6138805099762976
loss = 3.4060006141662598, MAPE = 0.5774560011923313
loss = 3.532480001449585, MAPE = 0.5503275499213487
loss = 3.541858196258545, MAPE = 0.6149790796916932
loss = 3.688417911529541, MAPE = 1.0338294891407713
loss = 3.439775228500366, MAPE = 0.7195423464290798
loss = 3.2866876125335693, MAPE = 0.5105783636681736
loss = 3.514892578125, MAPE = 0.6090824073180556
loss = 3.201608896255493, MAPE = 0.49468463636003435
loss = 3.2367630004882812, MAPE = 1.4765329351648688
loss = 3.4293429851531982, MAPE = 0.5568626357708126
loss = 3.4492335319519043, MAPE = 0.5554723218083382
loss = 3.5429282188415527, MAPE = 0.5544132888317108
loss = 3.3888912200927734, MAPE = 0.4900890472345054
loss = 3.3808820247650146, MAPE = 0.6756879151798785
loss = 3.420973539352417, MAPE = 0.5627726481761783
loss = 3.311553955078125, MAPE = 0.45571044413372874
loss = 3.3371546268463135, MAPE = 0.48096677171997726
loss = 3.3176429271698, MAPE = 0.5234704394824803
loss = 3.277249813079834, MAPE = 0.44345649029128253
loss = 3.102851152420044, MAPE = 0.40594972239341587
loss = 3.4278154373168945, MAPE = 0.4722404023632407
loss = 3.2286794185638428, MAPE = 0.5156955886632204
loss = 3.216742753982544, MAPE = 0.4220038438215852
loss = 3.522595167160034, MAPE = 0.5606261087814346
loss = 3.2904183864593506, MAPE = 0.6867570565082133
loss = 3.2939205169677734, MAPE = 0.7286500716581941
loss = 3.226133108139038, MAPE = 0.43766080820932984
loss = 3.1010828018188477, MAPE = 0.39667868078686297
loss = 3.252401828765869, MAPE = 0.45071722264401615
loss = 3.355665683746338, MAPE = 0.43309062346816063
loss = 3.1772749423980713, MAPE = 0.43336891662329435
loss = 3.2499797344207764, MAPE = 0.4652766645886004
loss = 3.177971363067627, MAPE = 0.40830682415980846
loss = 3.116737127304077, MAPE = 0.4960588931571692
loss = 3.0940003395080566, MAPE = 0.6033974209567532
loss = 3.167555570602417, MAPE = 0.4109260296681896
loss = 3.195956230163574, MAPE = 0.4454229134134948
loss = 3.2315497398376465, MAPE = 0.4165808253455907
loss = 3.3196189403533936, MAPE = 0.41838585888035595
loss = 3.119255781173706, MAPE = 0.41234963689930737
loss = 2.9885988235473633, MAPE = 0.3702679241541773
loss = 3.1470768451690674, MAPE = 0.4094215913210064
loss = 3.226092576980591, MAPE = 0.3912532740505412
loss = 3.0599653720855713, MAPE = 0.4024967335863039
loss = 3.0609655380249023, MAPE = 0.44394846085924655
loss = 3.3375208377838135, MAPE = 0.4527338622137904
loss = 3.211336135864258, MAPE = 0.4014119349885732
loss = 3.1337804794311523, MAPE = 0.49514656083192676
loss = 3.158186197280884, MAPE = 0.4187558174598962
loss = 2.9439804553985596, MAPE = 0.3981656167889014
loss = 3.098390817642212, MAPE = 0.40100334375165403
loss = 3.1393532752990723, MAPE = 0.4130416823318228
loss = 3.187892436981201, MAPE = 0.39859250315930694
loss = 3.1317741870880127, MAPE = 0.44336043763905764
loss = 3.1531789302825928, MAPE = 0.43244272843003273
loss = 3.1366488933563232, MAPE = 0.3830066730733961
loss = 2.902228593826294, MAPE = 0.3847907795570791
loss = 3.0567612648010254, MAPE = 0.35518220625817776
loss = 3.154031753540039, MAPE = 0.46689673978835344
loss = 2.986185312271118, MAPE = 0.47563965199515224
loss = 3.2478513717651367, MAPE = 0.3768929799553007
loss = 2.9682440757751465, MAPE = 0.3907231616321951
loss = 3.2939672470092773, MAPE = 0.3648537372937426
loss = 3.1061649322509766, MAPE = 0.3805890689836815
loss = 3.059152603149414, MAPE = 0.4171082932734862
loss = 3.1125619411468506, MAPE = 0.5096992329927161
loss = 2.8676204681396484, MAPE = 0.34409625513944775
loss = 2.9775445461273193, MAPE = 0.35148735297843814
loss = 2.970510959625244, MAPE = 0.33042183704674244
loss = 3.1000916957855225, MAPE = 0.3590188315138221
loss = 2.793639659881592, MAPE = 0.3515418826136738
loss = 2.96854305267334, MAPE = 0.40632966230623424
loss = 3.175316333770752, MAPE = 0.403903272934258
loss = 2.8737356662750244, MAPE = 0.39914685022085905
loss = 3.0180559158325195, MAPE = 0.40718788851518184
loss = 2.9562933444976807, MAPE = 0.43483736214693636
loss = 3.1101577281951904, MAPE = 0.35151251510251313
loss = 2.8838882446289062, MAPE = 0.3619116907939315
loss = 3.1307685375213623, MAPE = 0.44887386285699904
loss = 3.0218796730041504, MAPE = 0.4171930612064898
loss = 2.862661600112915, MAPE = 0.3708869500551373
loss = 3.050584316253662, MAPE = 0.4233122179284692
loss = 3.0251152515411377, MAPE = 0.4859189288690686
loss = 2.991212844848633, MAPE = 0.3979182962793857
loss = 3.0229601860046387, MAPE = 0.3490179822547361
loss = 3.0002827644348145, MAPE = 0.34409440122544765
loss = 2.8723714351654053, MAPE = 0.319374022888951
loss = 2.931215763092041, MAPE = 0.4196562375873327
loss = 2.944035053253174, MAPE = 1.1794866854324937
loss = 3.0035078525543213, MAPE = 0.5184726784937084
loss = 3.0621235370635986, MAPE = 0.5182417365722358
loss = 2.775273323059082, MAPE = 0.34291192505043
loss = 3.0176761150360107, MAPE = 0.4731906258966774
loss = 2.953411817550659, MAPE = 0.36545056151226163
loss = 2.7643465995788574, MAPE = 0.31277563516050577
loss = 2.7602219581604004, MAPE = 0.3148805439705029
loss = 2.9459025859832764, MAPE = 0.3919339223066345
loss = 2.840982675552368, MAPE = 0.344736157101579
loss = 2.884995222091675, MAPE = 0.352089824504219
loss = 2.8839621543884277, MAPE = 0.33599406701978296
loss = 2.9921300411224365, MAPE = 0.36577147885691375
